t,s_mm_fore,s_mm_hind,beta_deg_fore,beta_deg_hind,alpha_deg_fore,alpha_deg_hind,d_mm_fore,d_mm_hind
1.6,-17.147698464410794,-17.871390177316908,81.47279856465398,81.170308186139,90.20321976801092,107.78683051507046,-0.5001907039930439,0.5555785034108356
1.62,-17.51831588871508,-18.421401975855417,78.06689426291275,74.36947020346979,86.23365367181606,95.40655511532519,-0.3116986747318043,0.4881084404147239
1.6400000000000001,-19.03761650932885,-18.43269846777467,74.25054437606458,68.03061554604902,83.41008429508565,76.23374722890502,-0.0007891928763822529,0.5462669704873465
1.6600000000000001,-19.71993196224847,-18.280301245115222,70.55812876282872,58.485423751544744,85.00960315842205,43.97111978332846,0.3311743446182895,0.5254200016753796
1.68,-20.31309052355748,-17.908937011767474,65.35743472021323,53.02289591869267,85.24559021777657,16.721343332862865,0.6626026339683649,0.9141625869233435
1.7,-20.6100167104915,-16.984662088485777,57.81930504321809,48.83131776561748,83.48263407982049,-1.1893110387862251,0.8920387100414426,1.4407576834101907
1.72,-20.467610047686545,-15.952879434641018,45.6559832089151,46.92975944075627,69.35709227236468,-11.69719377334322,0.8146413993118492,2.1518293488715625
1.74,-19.917849338708898,-14.328971524037199,32.08338746952457,42.36700425662561,44.202829197594625,-18.03683000615291,0.5845632958910748,2.5483089791771
1.76,-19.082382366833375,-12.754360065945708,23.860501704520882,38.43941134204392,11.594297176759255,-22.74795052264253,0.4655329912384882,2.8116285094466233
1.78,-18.00892401594814,-10.879224231509564,18.37336933592078,32.287664846281885,-4.025258810058928,-23.96832909037389,0.47036328718122145,2.68931317394057
1.8,-16.74942614511309,-8.70575051312851,18.763101413896702,21.929143433639076,-13.987937966721553,-24.946063581621917,0.5114376275076697,2.328140854159235
1.82,-14.914744685407456,-6.285779606498007,18.33001642044079,15.56150759435745,-19.820977445594217,-23.731913713105524,0.48170399921930473,1.7300978525553996
1.84,-12.911597338712287,-3.319174574236275,17.525399673405936,10.54110543099466,-22.210079639520355,-21.705242304855062,0.36846578259997076,0.9413214590616615
1.86,-10.87521874652109,-0.2521939329289545,17.699829804045166,9.699396860007775,-23.604188592223124,-20.3026087236369,0.2153010768986524,0.40667648120667615
1.8800000000000001,-8.577378690513955,2.491719644047229,17.716356480277682,9.316445741725506,-22.853042014526306,-19.619399873761413,0.0533328427585147,-0.08242941343585337
1.9000000000000001,-6.127928994099382,5.516411925509049,17.725090796750806,10.229315226915032,-21.776887735247033,-18.878070579639836,-0.11926602723499329,-0.10298404572705
1.92,-3.6845986813735974,8.635990472432518,17.273316598042495,13.909055512070292,-21.546897846798323,-17.779228147464142,-0.27318690782487776,-0.03909203999268475
1.94,-1.0794971523906687,11.73554640606232,17.40185865517798,15.112484045710195,-21.385317541034386,-16.680385715288434,-0.3773631221323218,0.22390129396685843
1.96,1.5167615852666185,14.590970750888403,18.52416498221765,15.371149638338677,-21.82556247346685,-16.32954130763318,-0.4440033616084056,0.3170320286451923
1.98,4.078488715559992,17.595602941886714,19.65045400140539,15.78833590099347,-22.196088277821637,-16.148294271123024,-0.46380704744871276,0.6743461882962769
2.0,6.792382833332887,20.52804112429825,20.440720479303614,16.992336646274854,-22.159401200118964,-19.079282323996697,-0.4005183504163831,0.8535676444826477
2.02,9.345672075686025,22.863115639508273,22.09724720016399,19.567633552735515,-22.449740265051005,-24.55546283887672,-0.25976936990248056,1.1905026826892195
2.04,11.73908528369519,24.81264945303932,23.42035511357943,22.909141322169567,-23.782704088249147,-31.767552161529558,-0.06890998067466245,1.5489593122917196
2.06,14.050675484393574,26.34318067770212,24.678034706750537,28.882326466364418,-26.605499227663287,-45.06841422574216,0.14581740219280437,1.8750492202571638
2.08,15.837964767816699,26.5277406091565,27.715727862614226,37.21863967129107,-32.43471536576653,-17.516441124149054,0.33273729622328097,2.255128130852353
2.1,17.200660147510497,26.70637521152654,31.937821752079063,48.22184657060627,-42.505615344836855,22.02422001892144,0.489938125007882,2.3988278406194974
2.12,18.07994570302126,26.234118443931745,36.610314552346004,57.778664455928464,-23.58634781476299,61.564881161991934,0.5783370622069978,2.2684210848020663
2.14,18.401435125912222,25.04450671027919,42.025920478804856,68.71815065761521,7.539762692415267,101.10554230506243,0.5180696924792474,1.6882511674420937
2.16,18.230593414052375,23.738454776924712,47.773187530498234,85.40201419760245,38.66587319959353,140.64620344813292,0.294315975913274,1.1413896232037708
2.18,17.66922948787219,21.820367456840902,53.12570652400409,100.42836987151341,69.79198370677179,116.28224384943489,-0.08885583208449718,0.72388377568129
2.2,16.553153032990586,20.106974691740913,59.61078881995252,111.47737858673221,100.91809421395004,84.37953660466815,-0.629448693950576,0.3909115848358132
2.22,15.159250289150249,18.544227146736365,68.95862769933302,111.60088103244975,132.0442047211283,68.79527302171347,-1.1354082024782475,-0.2106259240442963
2.24,13.530172332027243,16.812936125005383,80.81637288506617,107.58705703117865,127.57983020417635,62.78328953486082,-1.486278592877293,-0.29325319372203024
2.2600000000000002,11.91940577929112,14.577923645459329,90.75988552983205,106.68457714658261,90.26901738125596,62.836957488528824,-1.6593521456699836,-0.028677976809138334
2.2800000000000002,10.047152143441911,12.038438816488437,98.11810226927874,107.66318156623306,60.46546431615838,63.860132383693234,-1.4626495755135964,0.4698942800936293
2.3000000000000003,8.132996771106335,9.358763461523749,102.50433799614204,107.46322795952871,50.115465194229635,66.20409172765257,-0.8071538079570939,0.7522209188522584
2.32,5.806002244227236,7.178825643677076,104.59291891671396,107.57823650619979,49.51168949622426,68.54600887743683,0.014584718182687844,0.6862961561092549
2.34,4.083551309208376,5.089792432956828,105.54782040584327,107.3008388331946,51.07495178928496,70.86926634543107,0.8198322400931342,0.5462885236414134
2.36,1.8133609570241254,3.1153922664760465,107.17865308969044,105.94048640404682,59.62097136655426,73.19252381342532,1.4607405777940592,0.44587122619868985
2.38,-0.11512787895578107,1.0225952451011455,106.1869487478003,102.9340880399156,68.64956795715983,74.66214624310221,1.8127461418844824,0.3816252068191645
2.4,-2.182682237168675,-1.138652912993061,104.72963271275614,101.60552603069911,77.69148327885271,75.96135795481393,1.8836143087242356,0.5003657082762337
2.42,-4.170697602723799,-3.0797014880670286,102.06439693136116,97.48252650753037,84.94094865331805,75.96566527260302,1.7939344119642593,0.36727089129100793
2.44,-5.703199804875688,-5.024872140779192,97.06182229015393,96.79560051452636,91.50522846989902,74.38295756489535,1.5888451505701044,0.4585398746741067
2.46,-7.843901812827378,-6.946669976828922,93.26934043586795,94.75563715994208,97.64025462508651,73.7203127210986,1.263205210512869,0.6736386447463958
2.48,-9.21919547182445,-8.765905983047848,90.01606344458098,94.63926203987218,103.26211194199631,75.16934747013332,0.7738345497836796,0.812599209744247
2.5,-10.535775798227895,-10.664497688711595,86.94689453115494,94.7166156013173,108.7280920349924,78.22560923090202,0.14144212454009455,1.1608331342298732
2.52,-12.121467470339022,-12.147110983320214,85.10214579985245,93.99447124601456,108.0905750318384,87.07304362181476,-0.4868229436370204,1.205774082028341
2.54,-14.12054144282143,-13.569181876245482,84.77456388385193,92.56956005983889,106.81451309784964,96.27085200383652,-0.8468680752812787,0.8418051571693969
2.56,-15.445649166701564,-14.553606027848337,86.57630806768384,90.05434193118424,96.98237627352539,102.85844417716167,-0.861081479023098,0.2975313249655834
2.58,-16.859488472649144,-15.63432471219954,87.91388995068849,87.88209827370636,86.31566316216065,105.68805263177009,-0.8362760366575182,-0.107155092899276
2.6,-17.833995398129424,-16.457230348968146,88.91904350842394,84.10412335503875,78.44583983872859,104.28819383028338,-0.8322391518755341,-0.4701854780709567
